ID,Pipeline_Name,Start_Time,End_Time,Source_System,Destination_System,Number_of_Records,Processing Time (seconds),CPU Usage (%),Memory Usage (MB),Status,Status_Message
a8b1cd2f-6e3e-403c-b811-362eccafe23c,extract_and_save_player_stats(passing),2024-01-20 01:13:02,2024-01-20 01:13:06,nfl.com,Raw,118,4.32,17.30,80.10,Success,'Pipeline execution completed successfully category passing and year: 2023'
a1b2263b-2781-460d-9af1-6d69e8c7ffa0,extract_and_save_player_stats(rushing),2024-01-20 01:13:02,2024-01-20 01:13:10,nfl.com,Raw,466,7.55,21.30,79.80,Success,'Pipeline execution completed successfully category rushing and year: 2023'
7c4697ee-42e6-4dd8-96ac-70e7e87eecd2,extract_and_save_player_stats(passing),2024-01-20 01:13:30,2024-01-20 01:13:32,nfl.com,Raw,118,1.13,24.50,80.50,Success,'Pipeline execution completed successfully category: passing and year: 2023'
2fd5445d-daf4-498e-a4b5-3958704aa642,extract_and_save_player_stats(rushing),2024-01-20 01:13:30,2024-01-20 01:13:35,nfl.com,Raw,466,4.37,18.90,80.30,Success,'Pipeline execution completed successfully category: rushing and year: 2023'
c56045d3-2f7d-4a43-af48-5e026927037f,extract_and_save_player_stats(passing),2024-01-20 01:13:40,2024-01-20 01:13:40,nfl.com,RAW,0,0.00,25.80,79.90,Failure,'Pipeline execution completed successfully category: passing and year: 0'
b3795af6-0e33-4223-9e07-1a7791252351,extract_and_save_player_stats(rushing),2024-01-20 01:13:40,2024-01-20 01:13:40,nfl.com,RAW,0,0.00,100.00,79.90,Failure,'Pipeline execution completed successfully category: rushing and year: 0'
fa62b4a6-2234-4372-a165-6cf6f49bb42f,extract_and_save_player_stats(passing),2024-01-20 01:13:57,2024-01-20 01:13:57,nfl.com,RAW,0,0.00,20.80,79.50,Failure,'Pipeline execution completed successfully category: passing and year: 0'
71a24bf3-aca8-4c8e-9cd0-3026d3d22352,extract_and_save_player_stats(passing),2024-01-20 01:13:57,2024-01-20 01:13:58,nfl.com,Raw,118,1.12,0.00,79.50,Success,'Pipeline execution completed successfully category: passing and year: 2023'
72e2f713-a5bf-4a5e-a733-011b68aab734,extract_and_save_player_stats(rushing),2024-01-20 01:13:57,2024-01-20 01:13:58,nfl.com,RAW,118,1.12,26.10,79.50,Failure,'Pipeline execution completed successfully category: rushing and year: 0'
8ed969f0-1a7c-42ac-9765-39b8845e64f2,extract_and_save_player_stats(rushing),2024-01-20 01:13:57,2024-01-20 01:14:02,nfl.com,Raw,466,4.55,0.00,79.50,Success,'Pipeline execution completed successfully category: rushing and year: 2023'
bf6b5c8a-657b-4e84-a702-032ca48acac8,extract_and_save_player_stats(passing),2024-01-20 01:14:34,2024-01-20 01:14:34,nfl.com,RAW,0,0.00,17.60,79.10,Failure,'Pipeline execution completed successfully category: passing and year: 0'
2c1fd744-5ced-4b92-a0a4-da3c9a4fa5f5,extract_and_save_player_stats(passing),2024-01-20 01:14:34,2024-01-20 01:14:35,nfl.com,Raw,118,1.10,100.00,79.10,Success,'Pipeline execution completed successfully category: passing and year: 2023'
717704d1-1eb7-4f17-aa4c-95c3ba16d7da,extract_and_save_player_stats(rushing),2024-01-20 01:14:34,2024-01-20 01:14:35,nfl.com,RAW,0,1.10,29.80,79.30,Failure,'Pipeline execution completed successfully category: rushing and year: 0'
d37cb3e1-7304-4093-91eb-7c8133bdb199,extract_and_save_player_stats(rushing),2024-01-20 01:14:34,2024-01-20 01:14:39,nfl.com,Raw,466,5.18,0.00,79.30,Success,'Pipeline execution completed successfully category: rushing and year: 2023'
